,match_id,bigmatchflag
235,20140903-M-US_Open-QF-Novak_Djokovic-Andy_Murray,True
236,20140706-M-Wimbledon-F-Novak_Djokovic-Roger_Federer,True
237,20140704-M-Wimbledon-SF-Milos_Raonic-Roger_Federer,True
238,20140704-M-Wimbledon-SF-Grigor_Dimitrov-Novak_Djokovic,True
239,20140702-M-Wimbledon-QF-Grigor_Dimitrov-Andy_Murray,True
240,20140701-M-Wimbledon-R16-Nick_Kyrgios-Rafael_Nadal,True
241,20140628-M-Wimbledon-R32-Mikhail_Kukushkin-Rafael_Nadal,True
242,20140627-M-Wimbledon-R32-Grigor_Dimitrov-Alexandr_Dolgopolov,True
243,20140626-M-Wimbledon-R64-Rafael_Nadal-Lukas_Rosol,True
244,20140625-M-Wimbledon-R64-Tomas_Berdych-Bernard_Tomic,True
245,20140608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,True
246,20140606-M-Roland_Garros-SF-Rafael_Nadal-Andy_Murray,True
247,20140606-M-Roland_Garros-SF-Ernests_Gulbis-Novak_Djokovic,True
248,20140604-M-Roland_Garros-QF-David_Ferrer-Rafael_Nadal,True
249,20140601-M-Roland_Garros-R16-Rafael_Nadal-Dusan_Lajovic,True
250,20140531-M-Roland_Garros-R32-Leonardo_Mayer-Rafael_Nadal,True
251,20140529-M-Roland_Garros-R64-Rafael_Nadal-Dominic_Thiem,True
252,20140526-M-Roland_Garros-R128-Robby_Ginepri-Rafael_Nadal,True
253,20140126-M-Australian_Open-F-Stanislas_Wawrinka-Rafael_Nadal,True
254,20140123-M-Australian_Open-SF-Stanislas_Wawrinka-Tomas_Berdych,True
255,20140122-M-Australian_Open-QF-Roger_Federer-Andy_Murray,True
256,20140122-M-Australian_Open-QF-Novak_Djokovic-Stanislas_Wawrinka_,True
257,20140122-M-Australian_Open-QF-Grigor_Dimitrov-Rafael_Nadal,True
258,20140120-M-Australian_Open-R16-Kei_Nishikori-Rafael_Nadal,True
259,20140118-M-Australian_Open-R32-Gael_Monfils-Rafael_Nadal,True
260,20140116-M-Australian_Open-R64-Thanasi_Kokkinakis-Rafael_Nadal,True
261,20140113-M-Australian_Open-R128-Ricardas_Berankis-Alexandr_Dolgopolov,True
262,20130913-M-Davis_Cup_World_Group_PO-RR-Sergiy_Stakhovsky-Rafael_Nadal,True
263,20130707-M-Wimbledon-F-Novak_Djokovic-Andy_Murray,True
264,20130705-M-Wimbledon-SF-Novak_Djokovic-Juan_Martin_Del_Potro,True
265,20130705-M-Wimbledon-SF-Andy_Murray-Jerzy_Janowicz,True
266,20130703-M-Wimbledon-QF-David_Ferrer-Juan_Martin_Del_Potro,True
267,20130609-M-Roland_Garros-F-David_Ferrer-Rafael_Nadal,True
268,20130607-M-Roland_Garros-SF-Novak_Djokovic-Rafael_Nadal,True
269,20130127-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,True
270,20130125-M-Australian_Open-SF-Roger_Federer-Andy_Murray_,True
271,20130125-M-Australian_Open-SF-David_Ferrer-Novak_Djokovic,True
272,20130123-M-Australian_Open-QF-Jo_Wilfried_Tsonga-Roger_Federer,True
273,20130120-M-Australian_Open-R16-Novak_Djokovic-Stanislas_Wawrinka,True
274,20130117-M-Davis_Cup_World_Group_F-RR-Novak_Djokovic-Tomas_Berdych,True
275,20120909-M-US_Open-SF-Novak_Djokovic-David_Ferrer,True
276,20120909-M-US_Open-F-Novak_Djokovic-Andy_Murray,True
277,20120908-M-US_Open-SF-Tomas_Berdych-Andy_Murray,True
278,20120904-M-US_Open-QF-Novak_Djokovic-Juan_Martin_Del_Potro,True
279,20120829-M-US_Open-R64-Ivan_Dodig-Andy_Murray,True
280,20120804-M-Olympics-F-Andy_Murray-Roger_Federer,True
281,20120708-M-Wimbledon-F-Roger_Federer-Andy_Murray,True
282,20120706-M-Wimbledon-SF-Roger_Federer-Novak_Djokovic,True
283,20120706-M-Wimbledon-SF-Andy_Murray-Jo_Wilfried_Tsonga,True
284,20120608-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,True
285,20120608-M-Roland_Garros-F-Novak_Djokovic-Rafael_Nadal,True
286,20120406-M-Davis_Cup_World_Group_QF-RR-Ivo_Karlovic-Juan_Martin_Del_Potro,True
287,20120210-M-Davis_Cup_World_Group_R1-RR-Julien_Benneteau-Milos_Raonic,True
288,20120129-M-Australian_Open-F-Novak_Djokovic-Rafael_Nadal,True
289,20120127-M-Australian_Open-SF-Roger_Federer-Rafael_Nadal,True
290,20120127-M-Australian_Open-SF-Novak_Djokovic-Andy_Murray,True
291,20120125-M-Australian_Open-QF-Andy_Murray-Kei_Nishikori,True
292,20120124-M-Australian_Open-QF-David_Ferrer-Novak_Djokovic,True
293,20120122-M-Australian_Open-R16-Novak_Djokovic-Lleyton_Hewitt,True
294,20120121-M-Australian_Open-R32-Michael_Llodra-Andy_Murray,True
295,20110918-M-Davis_Cup_World_Group_SF-RR-Jo_Wilfried_Tsonga-Rafael_Nadal,True
296,20110917-M-Davis_Cup_World_Group_PO-RR-Roger_Federer-Lleyton_Hewitt,True
297,20110916-M-Davis_Cup_World_Group_SF-RR-Richard_Gasquet-Rafael_Nadal,True
298,20110911-M-US_Open-SF-Andy_Murray-Rafael_Nadal,True
299,20110911-M-US_Open-F-Rafael_Nadal_-Novak_Djokovic,True
300,20110909-M-US_Open-SF-Roger_Federer-Novak_Djokovic,True
301,20110703-M-Wimbledon-F-Novak_Djokovic-Rafael_Nadal,True
302,20110701-M-Wimbledon-SF-Novak_Djokovic-Jo_Wilfried_Tsonga,True
303,20110701-M-Wimbledon-SF-Andy_Murray-Rafael_Nadal,True
304,20110605-M-Roland_Garros-F-Roger_Federer-Rafael_Nadal,True
305,20110603-M-Roland_Garros-SF-Novak_Djokovic-Roger_Federer,True
306,20110603-M-Roland_Garros-SF-Andy_Murray-Rafael_Nadal,True
307,20110130-M-Australian_Open-F-Novak_Djokovic-Andy_Murray,True
308,20110128-M-Australian_Open-SF-David_Ferrer-Andy_Murray,True
309,20110127-M-Australian_Open-SF-Novak_Djokovic-Roger_Federer,True
310,20110123-M-Australian_Open-R16-Robin_Soderling-Alexandr_Dolgopolov,True
311,20110120-M-Australian_Open-R64-Gilles_Simon-Roger_Federer,True
312,20110118-M-Australian_Open-R128-David_Nalbandian-Lleyton_Hewitt,True
313,20100912-M-US_Open-F-Novak_Djokovic-Rafael_Nadal,True
