,PtsServer,PtsRet,Gm1,Gm2,Set1,Set2,Svr,Ret,PointType
957,50,40,1.0,0.0,0,0,2,1,GamePoint
959,40,50,1.0,0.0,0,0,2,1,BreakPoint
963,40,0,2.0,0.0,0,0,1,2,GamePoint
964,40,15,2.0,0.0,0,0,1,2,GamePoint
968,40,0,3.0,0.0,0,0,2,1,GamePoint
973,15,40,3.0,1.0,0,0,1,2,BreakPoint
974,30,40,3.0,1.0,0,0,1,2,BreakPoint
979,40,15,3.0,2.0,0,0,2,1,GamePoint
980,40,30,3.0,2.0,0,0,2,1,GamePoint
984,40,0,3.0,3.0,0,0,1,2,GamePoint
988,40,0,4.0,3.0,0,0,2,1,GamePoint
993,40,15,4.0,4.0,0,0,1,2,GamePoint
998,40,15,5.0,4.0,0,0,2,1,SetPoint
999,40,30,5.0,4.0,0,0,2,1,SetPoint
