,Unnamed: 0,Unnamed: 0.1,match_id,Pt,Set1,Set2,Gm1,Gm2,Pts,Gm#,TbSet,TB?,TBpt,Svr,Ret,Serving,1st,2nd,Notes,1stSV,2ndSV,1stNoSV,2ndNoSV,1stIn,2ndIn,isRally1st,isRally2nd,Sv1,Sv2,Rally,isAce,isUnret,isRallyWinner,isForced,isUnforced,isDouble,rallyNoSpec,rallyNoError,rallyNoDirection,rallyLen,PtWinner,isSvrWinner,PtsAfter,GmW,Gm1.1,Gm2.1,SetW,Set1.1,Set2.1,rallyCount,PtsServer,PtsRet,Date,Gender,City,Round,P1Name,P2Name,bigmatchflag,IsCrucialPoint,abouttowin,winorsave,PointType,ClutchPlayer,ClutchPlayerWon,ClutchPlayerLost
343,343,343,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,27,0,0,2.0,1.0,40-AD,4 (10),1,0,,2,1,DM,4m2j=29b27f+39b2v3n#,,,0,,4m2j=29b27f+39b2v3n#,,1,,1,0,4,,m2j=29b27f+39b2v3n#,False,False,False,True,False,False,m2j29b27f39b2v3n,m2j29b27f39b2v3,mjbfbv,6,1,0,GM,1,3,1,0,0,0,6,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
352,352,352,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,36,0,0,4.0,1.0,0-40,6 (4),1,0,,2,1,DM,4d,4b29f29f39b38s37y+17w@,,0,0.0,4d,4b29f29f39b38s37y+17w@,0,1.0,0,1,4d,4,b29f29f39b38s37y+17w@,False,False,False,False,True,False,b29f29f39b38s37y17w,b29f29f39b38s37y17,bffbsy,6,1,0,GM,1,5,1,0,0,0,6,0,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
358,358,358,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,42,0,0,5.0,1.0,30-40,7 (6),1,0,,1,2,ND,4b28f19f2d@,,,0,,4b28f19f2d@,,1,,1,0,4,,b28f19f2d@,False,False,False,False,True,False,b28f19f2d,b28f19f2,bff,3,1,1,40-40,0,5,1,0,0,0,3,30,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
360,360,360,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,44,0,0,5.0,1.0,AD-40,7 (8),1,0,,1,2,ND,6f29f27f+39b1n#,,,0,,6f29f27f+39b1n#,,1,,1,0,6,,f29f27f+39b1n#,False,False,False,True,False,False,f29f27f39b1n,f29f27f39b1,fffb,4,2,0,40-40,0,5,1,0,0,0,4,50,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Save,SetPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
362,362,362,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,46,0,0,5.0,1.0,AD-40,7 (10),1,0,,1,2,ND,6f2n#,,10/4 3/12 W/UE ND/DM,0,,6f2n#,,1,,1,0,6,,f2n#,False,False,False,True,False,False,f2n,f2,f,1,1,1,GM,1,6,1,1,1,0,1,50,40,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,SetPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
370,370,370,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,54,1,0,0.0,0.0,40-AD,8 (8),1,0,,2,1,DM,6r28f+39b2v^2n#,,,0,,6r28f+39b2v^2n#,,1,,1,0,6,,r28f+39b2v^2n#,False,False,False,True,False,False,r28f39b2v2n,r28f39b2v2,rfbv,4,1,0,GM,1,1,0,0,1,0,4,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,1,Win,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
382,382,382,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,66,1,0,1.0,0.0,40-AD,9 (12),1,0,,1,2,ND,4s2n#,,,0,,4s2n#,,1,,1,0,4,,s2n#,False,False,False,True,False,False,s2n,s2,s,1,1,1,40-40,0,1,0,0,1,0,1,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
384,384,384,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,68,1,0,1.0,0.0,40-AD,9 (14),1,0,,1,2,ND,6r37w#,,,0,,6r37w#,,1,,1,0,6,,r37w#,False,False,False,True,False,False,r37w,r37,r,1,1,1,40-40,0,1,0,0,1,0,1,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
388,388,388,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,72,1,0,1.0,0.0,40-AD,9 (18),1,0,,1,2,ND,c4b29f18f17f39b37s39b39b38b28b38b38s38b29b29f29b27b38b18r27s+39b3z^17*,,Let on 4.,0,,4b29f18f17f39b37s39b39b38b28b38b38s38b29b29f29b27b38b18r27s+39b3z^17*,,1,,1,0,4,,b29f18f17f39b37s39b39b38b28b38b38s38b29b29f29b27b38b18r27s+39b3z^17*,False,False,True,False,False,False,b29f18f17f39b37s39b39b38b28b38b38s38b29b29f29b27b38b18r27s39b3z17,b29f18f17f39b37s39b39b38b28b38b38s38b29b29f29b27b38b18r27s39b3z17,bfffbsbbbbbsbbfbbbrsbz,22,1,1,40-40,0,1,0,0,1,0,23,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Save,BreakPoint,Novak_Djokovic,Novak_Djokovic,Daniil_Medvedev
392,392,392,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,76,1,0,1.0,0.0,40-AD,9 (22),1,0,,1,2,ND,4b37y+17f-19*,,,0,,4b37y+17f-19*,,1,,1,0,4,,b37y+17f-19*,False,False,True,False,False,False,b37y17f19,b37y17f19,byf,3,2,0,GM,2,1,1,0,1,0,4,40,50,20200111,M,ATP_Cup,SF,Novak_Djokovic,Daniil_Medvedev,,True,2,Win,BreakPoint,Daniil_Medvedev,Daniil_Medvedev,Novak_Djokovic
